target,dim,rep,variant,JS,pool_ESS,w_min,w_max
gaussian_ring,20,0,pool_memberweight_resample,0.05778546235860958,,0.09784603713412794,0.27778762179488
gaussian_ring,20,0,pool_coverage_resample,0.0556671728746027,,,
gaussian_ring,20,0,pool_full_aggregation,0.059265144211149146,9842.458061436708,,
gaussian_ring,20,1,exact_single_10000,0.04522568604739512,,,
gaussian_ring,20,1,pool_uniform,0.04344616332133078,9818.29815113851,,
gaussian_ring,20,1,pool_resample_uniform,0.05516040929336448,,,
gaussian_ring,20,1,pool_memberweight_resample,0.057024203547878315,,0.09622809434912338,0.2579396735247757
gaussian_ring,20,1,pool_coverage_resample,0.05565110892449935,,,
gaussian_ring,20,1,pool_full_aggregation,0.056023179573516727,9834.964147269926,,
gaussian_ring,20,2,exact_single_10000,0.042903858512175055,,,
gaussian_ring,20,2,pool_uniform,0.04383209538805541,9829.24604737975,,
gaussian_ring,20,2,pool_resample_uniform,0.056136439740073485,,,
gaussian_ring,20,2,pool_memberweight_resample,0.05843749439002557,,0.1120645011648159,0.2816715834513127
gaussian_ring,20,2,pool_coverage_resample,0.058441000083295856,,,
gaussian_ring,20,2,pool_full_aggregation,0.05847389311599373,9848.920668982839,,
gaussian_ring,20,3,exact_single_10000,0.043493589686618324,,,
gaussian_ring,20,3,pool_uniform,0.043928698173966184,9858.761029699815,,
gaussian_ring,20,3,pool_resample_uniform,0.05697441552052922,,,
gaussian_ring,20,3,pool_memberweight_resample,0.057305406417229324,,0.0995943106987432,0.27060679235570995
gaussian_ring,20,3,pool_coverage_resample,0.05564342942725849,,,
gaussian_ring,20,3,pool_full_aggregation,0.05680328134615518,9884.897883218864,,
gaussian_ring,20,4,exact_single_10000,0.04390768802035205,,,
gaussian_ring,20,4,pool_uniform,0.043749598563178296,9797.6439223235,,
gaussian_ring,20,4,pool_resample_uniform,0.05650146853316187,,,
gaussian_ring,20,4,pool_memberweight_resample,0.05548123889270139,,0.09965798774624669,0.2654119489409846
gaussian_ring,20,4,pool_coverage_resample,0.056143650311645324,,,
gaussian_ring,20,4,pool_full_aggregation,0.05747702718610927,9814.288951339784,,
rosenbrock,20,0,exact_single_10000,0.042737431900050415,,,
rosenbrock,20,0,pool_uniform,0.043442665579829086,9881.965280411776,,
rosenbrock,20,0,pool_resample_uniform,0.05637147920031056,,,
rosenbrock,20,0,pool_memberweight_resample,0.05852470759323082,,0.13004816701898764,0.3630070294345376
rosenbrock,20,0,pool_coverage_resample,0.12844833607612938,,,
rosenbrock,20,0,pool_full_aggregation,0.13272128741656702,9892.0463774812,,
rosenbrock,20,1,exact_single_10000,0.043219745004201116,,,
rosenbrock,20,1,pool_uniform,0.042281513926247,9807.724231802673,,
rosenbrock,20,1,pool_resample_uniform,0.05549949148989606,,,
rosenbrock,20,1,pool_memberweight_resample,0.05865606479215808,,0.10995744139626606,0.2831096611578422
rosenbrock,20,1,pool_coverage_resample,0.11588596192509806,,,
rosenbrock,20,1,pool_full_aggregation,0.11824080677801183,9778.429475957793,,
rosenbrock,20,2,exact_single_10000,0.04356636270859304,,,
rosenbrock,20,2,pool_uniform,0.04431477870267783,9816.209640354004,,
rosenbrock,20,2,pool_resample_uniform,0.056310947329580516,,,
rosenbrock,20,2,pool_memberweight_resample,0.05678921889982339,,0.11548542944967098,0.26234345904141204
rosenbrock,20,2,pool_coverage_resample,0.1196146087300711,,,
rosenbrock,20,2,pool_full_aggregation,0.12153890451168974,9898.541048363984,,
rosenbrock,20,3,exact_single_10000,0.04382016772468541,,,
rosenbrock,20,3,pool_uniform,0.04374969166744827,9803.895187630647,,
rosenbrock,20,3,pool_resample_uniform,0.056377212952079134,,,
rosenbrock,20,3,pool_memberweight_resample,0.05601904770486863,,0.11187770989814216,0.2653459167311113
rosenbrock,20,3,pool_coverage_resample,0.1328706146509177,,,
rosenbrock,20,3,pool_full_aggregation,0.13883985857071024,9854.9139531705,,
rosenbrock,20,4,exact_single_10000,0.04278352623022743,,,
rosenbrock,20,4,pool_uniform,0.04362296017107942,9862.141660466988,,
rosenbrock,20,4,pool_resample_uniform,0.05489166138025685,,,
rosenbrock,20,4,pool_memberweight_resample,0.05667408229529154,,0.10526172658478218,0.2703802434954223
rosenbrock,20,4,pool_coverage_resample,0.11814112914984583,,,
rosenbrock,20,4,pool_full_aggregation,0.12031379602938393,9818.813488638516,,
rosenbrock,50,0,exact_single_10000,0.04379765324187237,,,
rosenbrock,50,0,pool_uniform,0.04328065805819894,9805.767224891566,,
rosenbrock,50,0,pool_resample_uniform,0.05647427900177836,,,
rosenbrock,50,0,pool_memberweight_resample,0.05822109268081868,,0.13717457276457434,0.35015038022624284
rosenbrock,50,0,pool_coverage_resample,0.10029555773195087,,,
rosenbrock,50,0,pool_full_aggregation,0.10297609754091518,9879.21134923706,,
rosenbrock,50,1,exact_single_10000,0.04409320562618995,,,
rosenbrock,50,1,pool_uniform,0.04379375349455021,9850.526649318359,,
rosenbrock,50,1,pool_resample_uniform,0.05668429867674298,,,
rosenbrock,50,1,pool_memberweight_resample,0.05690933307012833,,0.10479888060196459,0.30167436091924155
rosenbrock,50,1,pool_coverage_resample,0.1020622015075448,,,
rosenbrock,50,1,pool_full_aggregation,0.10591549496101667,9896.6448394045,,
rosenbrock,50,2,exact_single_10000,0.04317009486054017,,,
rosenbrock,50,2,pool_uniform,0.043876873090604146,9838.848350154101,,
rosenbrock,50,2,pool_resample_uniform,0.05598922764903369,,,
rosenbrock,50,2,pool_memberweight_resample,0.056899927274217055,,0.12943649878389174,0.3029381295823807
rosenbrock,50,2,pool_coverage_resample,0.11183805115492068,,,
rosenbrock,50,2,pool_full_aggregation,0.1140920362391123,9844.311556822675,,
rosenbrock,50,3,exact_single_10000,0.04391718244089194,,,
rosenbrock,50,3,pool_uniform,0.04317878271254625,9913.417573241286,,
rosenbrock,50,3,pool_resample_uniform,0.05570717715371472,,,
rosenbrock,50,3,pool_memberweight_resample,0.05587272557727749,,0.09856142400256312,0.2567420456547336
rosenbrock,50,3,pool_coverage_resample,0.09184635922582902,,,
rosenbrock,50,3,pool_full_aggregation,0.0929382769098763,9934.364049518488,,
rosenbrock,50,4,exact_single_10000,0.04268394568444947,,,
rosenbrock,50,4,pool_uniform,0.043784208647310766,9832.252472498469,,
rosenbrock,50,4,pool_resample_uniform,0.0557936747654627,,,
rosenbrock,50,4,pool_memberweight_resample,0.05692317103998246,,0.10174472493386483,0.2770917469774774
rosenbrock,50,4,pool_coverage_resample,0.10179062245368878,,,
rosenbrock,50,4,pool_full_aggregation,0.10489740230955555,9834.101062694901,,
